VP-Nr.;VPCode_vor;VPCode_nach;Ausschluss;group
1;TELI29;TELI29;nein;Manuell
2;KEPA03;KEPA03;ja;HandsOn
3;EAPR03.03;EAPR03.03;nein;HandsOff
4;ONRU25;ONRU25;nein;Manuell
5;TELE10;tele10;nein;HandsOn
6;SEMA02;SEMA02;nein;HandsOff
7;EAWI24;EAWI24;nein;Manuell
8;KEKL26;KeKl26;nein;HandsOn
9;GAPA19;GAPA19;nein;HandsOff
10;CAIM21.09.;CAIM21;nein;Manuell
11;THMA12;THMA12;nein;HandsOn
12;KECA08;KECA08;nein;HandsOff
13;NALE25;NALE25;nein;Manuell
14;NAED18;NAED18;nein;HandsOn
15;JATH22;JATH22;nein;HandsOff
16;NEHO31;NEHO31;nein;Manuell
17;JAAN23;JAHA23;nein;HandsOn
18;RAPO15;RAPO15;nein;HandsOff
19;CYMA27.10.;;ja;Manuell
20;TAFR30.10.;tafr10.30.;ja;HandsOn
21;NALI03;NAWI03;nein;Manuell
22;NEAK20;neak20;nein;Manuell
23;LABA04;LABA04;nein;Manuell
24;LAKE12;LAKE12.11.;nein;Manuell
25;TEHE04;TEHE04;nein;Manuell
26;JaSc30;jasc30;ja;HandsOff
27;ITWE19;ITWE19;ja;HandsOn
28;DEFR22;deen22;ja;HandsOff
29;UIAM27;UIAM27;ja;HandsOn
30;LAMO02;LAMO02;nein;Manuell
31;LEMU22;LEMU22;ja;HandsOff
32;ELSP28;BISP28;nein;Manuell
33;ITDO31;ITDR31;nein;Manuell
34;IAHA04;iaha04;ja;HandsOff
35;RABA24;RABA24;nein;Manuell
36;MAFR19;MAFR19;ja;HandsOn
37;KADa02;kada02;ja;HandsOn
38;RDWA18;rdwa18;nein;Manuell
39;negü18;negü18;ja;HandsOff
40;TAKE09.05;TAKE09.05.;nein;Manuell
41;RaAn23;raan23;ja;HandsOn
42;RAAL28;RAAL28;ja;HandsOff
43;NEBU19;YVBU19;ja;HandsOn
44;ERMA06;ERRU06;ja;HandsOff
45;MALA28,01;TEBE28;ja;HandsOn
46;TLHA03.12;tlmo03;ja;HandsOn
47;UNMA11.02.;UNMA11;nein;HandsOn
48;IAAd29;IAAD29;nein;HandsOff
49;NASE28.08.;NABä28.08.1993;nein;HandsOn
50;THEG26;THMÜ / EG26;nein;Manuell
51;RELE23;RELE23;nein;HandsOn
52;idKe12;idKe12;nein;HandsOn
53;ELRA28.10.1999;ELRA28;nein;HandsOff
54;LAAM11;laam11;nein;HandsOff
55;RAKE20;RAKE20;nein;HandsOff
56;MALE19;MALE19;nein;HandsOn
57;TEST30;tekr30;nein;HandsOff
58;IEMI14;IEMU14;nein;HandsOff
59;NaPr03.04;naPr03;nein;HandsOff
60;THTR30.03.;thtr30.;nein;HandsOff
61;iasc02.05.;iasc02.05.;nein;HandsOff
62;IARO0907;PARO09;nein;HandsOn
63;HASC22;HASC22;nein;Manuell
64;ESAN30;ESAN30;nein;HandsOff
65;LAAG24;;ja;HandsOn
66;LALA03;LALA03;nein;HandsOn
67;ITOR29;ITOR29;nein;HandsOff
68;TeRi28;TeRi28;nein;HandsOn
69;ENMO07;ENMO07;nein;HandsOn
70;TAWI25.06.;taWi25.06.;nein;HandsOn
71;elhu17;elhu17;nein;Manuell
72;URBE01;URBE01;nein;HandsOff
73;DEHE06.03.1963;DEHE06.03.1963;nein;HandsOff
74;INKO19;INKO19;nein;HandsOn
75;LECH25;LECH25;nein;HandsOn
76;NAKA18;NAKA18;nein;HandsOn
77;RAAM04;RAAM04;nein;HandsOff
78;LaLu25.03.1969;laMi25;nein;HandsOn
79;IASC10;IASC10;nein;HandsOn
